A,B
0,0
0.014638,0
0.029217,0
0.045564,0
0.060509,0
0.075593,0
0.092023,0
0.107426,0
0.122509,0
0.13751,0
0.153106,0
0.169092,0
0.183941,0
0.200069,0
0.214437,0
0.229436,0
0.245133,0
0.260148,0
0.274673,0
0.290139,0
0.304585,0
0.319627,0
0.334779,0
0.349381,0
0.364382,0
0.380384,0
0.395496,0
0.411214,0
0.426234,0
0.441235,0
0.457237,0
0.473234,0
0.488567,0
0.503318,0
0.518939,0
0.534615,0
0.549789,0
0.564789,0
0.580778,0
0.595369,0
0.611512,0
0.626355,0
0.641342,0
0.656342,0
0.671341,0
0.68678,0
0.701803,0
0.716894,0
0.731729,0
0.746238,0
0.762124,0
0.776842,0
0.79139,0
0.807919,0
0.822773,0
0.837269,0
0.853043,0
0.867288,0
0.88279,0
0.897175,0
0.91291,0
0.927718,0
0.942381,0
0.957929,0
0.973817,0
0.989491,0
1.00503,0
1.020544,0
1.036095,0
1.050832,0
1.065902,0
1.080895,0
1.096898,0
1.112647,0
1.127674,0
1.142737,0
1.15787,0
1.173041,0
1.187999,0
1.203058,0
1.218195,0
1.23401,0
1.249623,0
1.264722,0
1.279504,0
1.295102,0
1.310563,0
1.325441,0
1.340933,0
1.356006,0
1.37059,0
1.385483,0
1.400481,0
1.41707,0
1.433142,0
1.447206,0
1.462829,0
1.478255,0
1.493734,0
1.508546,0
1.524385,0
1.540217,0
1.555695,0
1.570156,0
1.587113,0
1.601161,0
1.61633,0
1.63195,0
1.646225,0
1.662529,0
1.677786,0
1.692653,0
1.708302,0
1.723418,0
1.739547,0
1.75614,0
1.771322,0
1.786337,0
1.801798,0
1.817691,0
1.833806,0
1.848801,0
1.863432,0
1.879126,0
1.895022,0
1.909305,0
1.925003,0
1.939629,0
1.954512,0
1.971123,0
1.986817,0
2.001642,0
2.016193,0
2.031961,0
2.047615,0
2.063425,0
2.078651,0
2.093748,0
2.10893,0
2.12333,0
2.138698,0
2.154926,0
2.169224,0
2.184866,0
2.200631,0
2.215276,0
2.230602,0
2.246861,0
2.261604,0
2.276655,0
2.291871,0
2.306184,0
2.321249,0
2.336237,0
2.353059,0
2.367828,0
2.383117,0
2.39824,0
2.413489,0
2.428163,0
2.443163,0
2.458859,0
2.473859,0
2.488399,0
2.504592,0
2.520141,0
2.53552,0
2.550519,0
2.565518,0
2.580689,0
2.596078,0
2.611117,0
2.625393,0
2.640491,0
2.655285,0
2.670333,0
2.685331,0
2.700263,0
2.715275,0
2.731176,0
2.747042,0
2.761559,0
2.776392,0
2.792282,0
2.807821,0
2.822693,0
2.837367,0
2.853369,0
2.868862,0
2.883413,0
2.898862,0
2.914582,0
2.929158,0
2.94533,0
2.960624,0
2.976081,0
2.992133,0
3.006325,0
3.022067,0
3.036316,0
3.05161,0
3.066434,0
3.082568,0
3.097809,0
3.11255,0
3.12925,0
3.145579,0
3.161109,0
3.176928,0
3.1915,0
3.206522,0
3.223146,0
3.238862,0
3.253456,0
3.269573,0
3.285952,0
3.300643,0
3.316047,0
3.330816,0
3.345188,0
3.360698,0
3.375715,0
3.390378,0
3.40604,0
3.42159,0
3.43659,0
3.451163,0
3.468093,0
3.482353,0
3.497845,0
3.513728,0
3.528257,0
3.544273,0
3.559619,0
3.574501,0
3.589159,0
3.604451,0
3.61962,0
3.635009,0
3.649271,0
3.664704,0
3.679917,0
3.69523,0
3.710255,0
3.725785,0
3.741069,0
3.75553,0
3.770403,0
3.785824,0
3.800289,0
3.815801,0
3.830653,0
3.845944,0
3.860457,0
3.876473,0
3.891178,0
3.906425,0
3.921882,0
3.937738,0
3.953414,0
3.969966,0
3.985363,0
4.00038,0
4.015894,0
4.030318,0
4.046758,0
4.061245,0
4.076559,0
4.093202,0
4.109457,0
4.124897,0
4.139487,0
4.155137,0
4.16995,0
4.184822,0
4.200635,0
4.216148,0
4.231681,0
4.246293,0
4.262547,0
4.278937,0
4.294937,0
4.31057,0
4.325723,0
4.340297,0
4.356312,0
4.371781,0
4.386216,0
4.401668,0
4.416193,0
4.432135,0
4.447539,0
4.462624,0
4.477866,0
4.492882,0
4.508963,0
4.524716,0
4.540324,0
4.555466,0
4.570774,0
4.586542,0
4.602064,0
4.617167,0
4.633811,0
4.649527,0
4.664893,0
4.679602,0
4.694544,0
4.709959,0
4.724307,0
4.739677,0
4.754366,0
4.770148,0
4.78488,0
4.799306,0
4.814814,0
4.829688,0
4.844179,0
4.859834,0
4.874532,0
4.890598,0
4.905779,0
4.920366,0
4.935896,0
4.950582,0
4.965771,0
4.980698,0
4.996519,0
5.011526,0
5.028115,0
5.043217,0
5.058893,0
5.074199,0
5.089754,0
5.106114,0
5.120997,0
5.135742,0
5.15019,0
5.165349,0
5.180349,0
5.197011,0
5.211752,0
5.226787,0
5.241205,0
5.257124,0
5.272329,0
5.287691,0
5.303178,0
5.319035,175
5.334579,175
5.349205,175
5.365683,175
5.380328,175
5.395617,175
5.411426,175
5.427145,175
5.441949,175
5.456217,175
5.472234,175
5.487863,175
5.503131,175
5.517506,175
5.53325,175
5.548573,175
5.563462,175
5.578832,175
5.593368,175
5.608337,175
5.623713,175
5.638505,175
5.653567,175
5.669834,175
5.685002,175
5.699349,175
5.714859,175
5.730373,175
5.745345,175
5.761194,175
5.77724,175
5.792237,175
5.807377,175
5.823046,175
5.838046,175
5.852962,175
5.867661,175
5.884089,175
5.899328,175
5.914226,175
5.929406,175
5.944631,175
5.959164,175
5.974484,175
5.990958,175
6.007071,175
6.022376,175
6.038095,175
6.053802,175
6.068825,175
6.084102,175
6.098882,175
6.114089,175
6.128371,175
6.143712,175
6.158182,175
6.173525,175
6.189867,175
6.204902,175
6.219605,175
6.234613,175
6.250067,175
6.264958,175
6.280041,175
6.294916,175
6.310081,175
6.325414,175
6.340905,175
6.355563,175
6.371187,175
6.386464,175
6.402019,175
6.416777,175
6.431575,175
6.446918,175
6.461987,175
6.477022,175
6.491835,175
6.506758,175
6.521333,175
6.536631,175
6.552294,175
6.567581,175
6.583075,175
6.598207,175
6.613451,175
6.628197,175
6.643636,175
6.659061,175
6.67389,175
6.688382,175
6.705122,175
6.719846,175
6.73514,175
6.750766,175
6.76556,175
6.781372,175
6.796365,175
6.811158,175
6.827331,175
6.842871,175
6.860603,175
6.876426,175
6.892751,175
6.908052,175
6.922668,175
6.938064,175
6.952187,175
6.967546,175
6.983011,175
6.998815,175
7.013982,175
7.028757,175
7.043228,175
7.058702,175
7.074118,175
7.088309,175
7.103174,175
7.119287,175
7.135654,175
7.150281,175
7.165177,175
7.180178,175
7.195837,175
7.210839,175
7.225538,175
7.24155,175
7.256591,175
7.271208,175
7.288043,175
7.302584,175
7.317962,175
7.333101,175
7.347261,175
7.363462,175
7.378461,175
7.393902,175
7.409422,175
7.424893,175
7.439348,175
7.45465,175
7.469957,175
7.48613,175
7.501058,175
7.515853,175
7.530632,175
7.545581,175
7.561058,175
7.576074,175
7.591191,175
7.606731,175
7.621765,175
7.636472,175
7.651292,175
7.667168,175
7.683835,175
7.698837,175
7.713191,175
7.72866,175
7.744443,175
7.760656,175
7.775424,175
7.790719,175
7.805984,175
7.820422,175
7.835643,175
7.850383,175
7.865801,175
7.880714,175
7.89515,175
7.910275,175
7.926405,175
7.941537,175
7.957792,175
7.97245,175
7.987686,175
8.002225,175
8.017231,175
8.033001,175
8.047782,175
8.062896,175
8.07813,175
8.092227,175
8.108808,175
8.12358,175
8.138241,175
8.153289,175
8.168904,175
8.184583,175
8.200049,175
8.21423,175
8.229774,175
8.244189,175
8.260427,175
8.275861,175
8.290451,175
8.306522,175
8.321874,175
8.337034,175
8.352718,175
8.367577,175
8.38322,175
8.399089,175
8.414785,175
8.43189,175
8.447036,175
8.461339,175
8.47643,175
8.492159,175
8.507191,175
8.523059,175
8.541075,175
8.557076,175
8.572076,175
8.588079,175
8.603075,175
8.618089,175
8.634607,175
8.651026,175
8.666027,175
8.681026,175
8.69577,175
8.711982,175
8.726281,175
8.745018,175
8.760649,175
8.774328,175
8.790548,175
8.805858,175
8.820253,175
8.836811,175
8.851259,175
8.866612,175
8.881993,175
8.896798,175
8.912156,175
8.927889,175
8.943027,175
8.95846,175
8.973984,175
8.988986,175
9.00496,175
9.020364,175
9.035891,175
9.051006,175
9.066525,175
9.081766,175
9.09715,175
9.112515,175
9.128016,175
9.142742,175
9.158741,175
9.173622,175
9.188534,175
9.203534,175
9.218543,175
9.234181,175
9.249829,175
9.264516,175
9.280076,175
9.295076,175
9.309706,175
9.324841,175
9.340814,175
9.355555,175
9.371571,175
9.386668,175
9.402029,175
9.417335,175
9.433169,175
9.448163,175
9.463429,175
9.478236,175
9.494928,175
9.510083,175
9.52481,175
9.540532,175
9.555204,175
9.570223,175
9.587225,175
9.604058,175
9.61962,175
9.634526,175
9.650924,175
9.666075,175
9.680538,175
9.695593,175
9.710432,175
9.725754,175
9.74164,175
9.756941,175
9.771745,175
9.786861,175
9.803266,175
9.818633,175
9.833586,175
9.848301,175
9.863418,175
9.878489,175
9.893697,175
9.909014,175
9.924053,175
9.938428,175
9.953883,175
9.968272,175
9.983176,175
9.998437,175
10.013686,175
10.029121,175
10.043832,175
10.058944,175
10.07423,175
10.08922,175
10.104304,175
10.119394,175
10.134411,175
10.149479,175
10.164762,175
10.179269,175
10.194458,175
10.209451,175
10.224546,175
10.23949,175
10.254386,175
10.269421,175
10.284581,175
10.299731,175
10.314788,175
10.32937,175
10.344237,175
10.360894,175
10.375895,175
10.390937,175
10.405782,175
10.420331,175
10.436289,175
10.452827,175
10.468374,175
10.483669,175
10.499914,175
10.515464,175
10.530845,175
10.545792,175
10.560781,175
10.576037,175
10.590741,175
10.606758,175
10.622027,175
10.636579,175
10.651569,175
10.666566,175
10.681773,175
10.696481,175
